t,ia,ifd,wm,Te,Ea
1.4300,1333.064541,8.391568,194.345525,44.746007,6.523455
1.4400,1333.176673,8.391571,196.357663,44.749789,6.590997
1.4500,1333.220250,8.391574,198.369925,44.751268,6.658544
1.4600,1333.196153,8.391577,200.382203,44.750474,6.726091
1.4700,1333.105260,8.391580,202.394390,44.747436,6.793635
1.4800,1332.948436,8.391582,204.406379,44.742185,6.861172
1.4900,1332.726543,8.391584,206.418066,44.734748,6.928698
1.5000,1332.440433,8.391586,208.429347,44.725155,6.996211
1.5100,1332.090950,8.391588,210.440120,44.713434,7.063707
1.5200,1331.678932,8.391590,212.450286,44.699613,7.131183
1.5300,1331.205209,8.391591,214.459743,44.683720,7.198634
1.5400,1330.670604,8.391593,216.468395,44.665783,7.266058
1.5500,1330.075930,8.391594,218.476144,44.645829,7.333452
1.5600,1329.421996,8.391595,220.482895,44.623885,7.400813
1.5700,1328.709600,8.391596,222.488555,44.599978,7.468136
1.5800,1327.939537,8.391597,224.493030,44.574135,7.535420
1.5900,1327.112594,8.391598,226.496228,44.546382,7.602661
1.6000,1326.229548,8.391599,228.498060,44.516746,7.669856
1.6100,1325.291171,8.391600,230.498436,44.485252,7.737002
1.6200,1324.298228,8.391600,232.497269,44.451926,7.804097
1.6300,1323.251476,8.391601,234.494472,44.416794,7.871136
1.6400,1322.151668,8.391602,236.489959,44.379881,7.938118
1.6500,1320.999546,8.391602,238.483646,44.341211,8.005040
1.6600,1319.795847,8.391603,240.475451,44.300810,8.071898
1.6700,1318.541302,8.391603,242.465290,44.258702,8.138690
1.6800,1317.236634,8.391604,244.453085,44.214911,8.205414
1.6900,1315.882562,8.391604,246.438754,44.169462,8.272066
1.7000,1314.479794,8.391604,248.422220,44.122378,8.338644
1.7100,1313.029035,8.391605,250.403405,44.073683,8.405146
1.7200,1311.530981,8.391605,252.382234,44.023400,8.471568
1.7300,1309.986323,8.391605,254.358631,43.971553,8.537909
1.7400,1308.395747,8.391606,256.332521,43.918164,8.604166
1.7500,1306.759930,8.391606,258.303833,43.863257,8.670336
1.7600,1305.079543,8.391606,260.272495,43.806853,8.736417
1.7700,1303.355251,8.391606,262.238436,43.748976,8.802407
1.7800,1301.587713,8.391606,264.201585,43.689647,8.868303
1.7900,1299.777583,8.391607,266.161876,43.628888,8.934103
1.8000,1297.925507,8.391607,268.119239,43.566721,8.999805
1.8100,1296.032127,8.391607,270.073608,43.503168,9.065406
1.8200,1294.098076,8.391607,272.024919,43.438250,9.130905
1.8300,1292.123982,8.391607,273.973105,43.371987,9.196299
1.8400,1290.110467,8.391607,275.918105,43.304401,9.261585
1.8500,1288.058147,8.391607,277.859856,43.235512,9.326763
1.8600,1285.967632,8.391607,279.798296,43.165342,9.391830
1.8700,1283.839528,8.391607,281.733364,43.093909,9.456783
1.8800,1281.674433,8.391608,283.665001,43.021235,9.521621
1.8900,1279.472941,8.391608,285.593149,42.947339,9.586343
1.9000,1277.235639,8.391608,287.517749,42.872241,9.650945
1.9100,1274.963109,8.391608,289.438745,42.795961,9.715426
1.9200,1272.655929,8.391608,291.356080,42.718517,9.779784
1.9300,1270.314669,8.391608,293.269700,42.639930,9.844017
1.9400,1267.939897,8.391608,295.179550,42.560218,9.908124
1.9500,1265.532169,8.391608,297.085578,42.479399,9.972103
1.9600,1263.092038,8.391608,298.987731,42.397493,10.035951
1.9700,1260.620054,8.391608,300.885958,42.314517,10.099668
1.9800,1258.116760,8.391608,302.780209,42.230491,10.163251
1.9900,1255.582693,8.391608,304.670434,42.145431,10.226699
2.0000,1253.018387,8.391608,306.556584,42.059357,10.290011
2.0100,1250.424368,8.391608,308.438612,41.972285,10.353184
2.0200,1247.801158,8.391608,310.316469,41.884234,10.416217
2.0300,1245.149275,8.391608,312.190111,41.795219,10.479108
2.0400,1242.469230,8.391608,314.059491,41.705260,10.541857
2.0500,1239.761530,8.391608,315.924565,41.614372,10.604461
2.0600,1237.026675,8.391608,317.785289,41.522573,10.666919
2.0700,1234.265163,8.391608,319.641620,41.429879,10.729229
2.0800,1231.477486,8.391608,321.493517,41.336307,10.791391
2.0900,1228.664129,8.391608,323.340937,41.241872,10.853402
2.1000,1225.825574,8.391608,325.183839,41.146592,10.915262
2.1100,1222.962298,8.391608,327.022185,41.050482,10.976968
2.1200,1220.074774,8.391608,328.855934,40.953559,11.038521
2.1300,1217.163467,8.391608,330.685049,40.855836,11.099918
2.1400,1214.228841,8.391608,332.509491,40.757331,11.161158
2.1500,1211.271353,8.391608,334.329225,40.658059,11.222240
2.1600,1208.291456,8.391608,336.144213,40.558035,11.283162
2.1700,1205.289599,8.391608,337.954420,40.457273,11.343925
2.1800,1202.266224,8.391608,339.759812,40.355789,11.404525
2.1900,1199.221782,8.391608,341.560352,40.253598,11.464963
2.2000,1196.156682,8.391608,343.356012,40.150714,11.525237
2.2100,1193.071370,8.391608,345.146757,40.047151,11.585346
2.2200,1189.966271,8.391608,346.932553,39.942924,11.645288
2.2300,1186.841807,8.391608,348.713371,39.838046,11.705064
2.2400,1183.698393,8.391608,350.489179,39.732533,11.764672
2.2500,1180.536441,8.391608,352.259948,39.626398,11.824110
2.2600,1177.356360,8.391608,354.025647,39.519654,11.883378
2.2700,1174.158553,8.391608,355.786250,39.412315,11.942476
2.2800,1170.943419,8.391608,357.541727,39.304394,12.001401
2.2900,1167.711354,8.391608,359.292051,39.195906,12.060153
2.3000,1164.462749,8.391608,361.037196,39.086862,12.118731
2.3100,1161.197990,8.391608,362.777135,38.977275,12.177135
2.3200,1157.917459,8.391608,364.511843,38.867160,12.235363
2.3300,1154.621536,8.391608,366.241295,38.756527,12.293414
2.3400,1151.310596,8.391608,367.965467,38.645391,12.351288
2.3500,1147.985008,8.391608,369.684335,38.533763,12.408985
2.3600,1144.645139,8.391608,371.397875,38.421655,12.466502
2.3700,1141.291352,8.391608,373.106066,38.309080,12.523840
2.3800,1137.924004,8.391608,374.808885,38.196050,12.580998
2.3900,1134.543451,8.391608,376.506311,38.082577,12.637974
2.4000,1131.150044,8.391608,378.198323,37.968673,12.694769
2.4100,1127.744129,8.391608,379.884900,37.854348,12.751381
2.4200,1124.326049,8.391608,381.566024,37.739616,12.807811
2.4300,1120.896144,8.391608,383.241675,37.624486,12.864056
2.4400,1117.454749,8.391608,384.911835,37.508971,12.920118
2.4500,1114.002196,8.391608,386.576484,37.393081,12.975994
2.4600,1110.538815,8.391608,388.235606,37.276827,13.031685
2.4700,1107.064927,8.391608,389.889184,37.160221,13.087189
2.4800,1103.580855,8.391608,391.537201,37.043273,13.142507
2.4900,1100.086916,8.391608,393.179641,36.925994,13.197638
2.5000,1096.583424,8.391608,394.816488,36.808395,13.252581
2.5100,1093.070688,8.391608,396.447728,36.690485,13.307336
2.5200,1089.549016,8.391608,398.073346,36.572275,13.361903
2.5300,1086.018711,8.391608,399.693328,36.453775,13.416280
2.5400,1082.480071,8.391608,401.307660,36.334995,13.470467
2.5500,1078.933395,8.391608,402.916329,36.215946,13.524464
2.5600,1075.378974,8.391608,404.519323,36.096637,13.578271
2.5700,1071.817099,8.391608,406.116630,35.977077,13.631887
2.5800,1068.248055,8.391608,407.708237,35.857277,13.685311
2.5900,1064.672126,8.391608,409.294133,35.737246,13.738544
2.6000,1061.089589,8.391608,410.874309,35.616993,13.791585
2.6100,1057.500722,8.391608,412.448753,35.496528,13.844434
2.6200,1053.905797,8.391608,414.017456,35.375859,13.897089
2.6300,1050.305083,8.391608,415.580408,35.254996,13.949552
2.6400,1046.698848,8.391608,417.137601,35.133947,14.001822
2.6500,1043.087354,8.391608,418.689025,35.012722,14.053897
2.6600,1039.470863,8.391608,420.234673,34.891330,14.105779
2.6700,1035.849632,8.391608,421.774536,34.769778,14.157467
2.6800,1032.223916,8.391608,423.308608,34.648076,14.208960
2.6900,1028.593965,8.391608,424.836880,34.526231,14.260259
2.7000,1024.960030,8.391608,426.359348,34.404253,14.311363
2.7100,1021.322355,8.391608,427.876003,34.282149,14.362271
2.7200,1017.681183,8.391608,429.386840,34.159928,14.412985
2.7300,1014.036754,8.391608,430.891855,34.037597,14.463503
2.7400,1010.389302,8.391608,432.391042,33.915165,14.513825
2.7500,1006.739061,8.391608,433.884396,33.792640,14.563952
2.7600,1003.086262,8.391608,435.371914,33.670028,14.613882
2.7700,999.431131,8.391608,436.853591,33.547339,14.663617
2.7800,995.773895,8.391608,438.329423,33.424578,14.713156
2.7900,992.114774,8.391608,439.799409,33.301755,14.762498
2.8000,988.453988,8.391608,441.263545,33.178875,14.811643
2.8100,984.791755,8.391608,442.721828,33.055947,14.860593
2.8200,981.128287,8.391608,444.174256,32.932978,14.909346
2.8300,977.463797,8.391608,445.620827,32.809974,14.957902
2.8400,973.798493,8.391608,447.061541,32.686942,15.006262
2.8500,970.132580,8.391608,448.496395,32.563891,15.054424
2.8600,966.466263,8.391608,449.925389,32.440826,15.102391
2.8700,962.799742,8.391608,451.348523,32.317754,15.150160
2.8800,959.133215,8.391608,452.765796,32.194681,15.197733
2.8900,955.466877,8.391608,454.177208,32.071615,15.245109
2.9000,951.800922,8.391608,455.582761,31.948562,15.292288
2.9100,948.135539,8.391608,456.982454,31.825529,15.339271
2.9200,944.470917,8.391608,458.376288,31.702520,15.386057
2.9300,940.807242,8.391608,459.764266,31.579544,15.432647
2.9400,937.144696,8.391608,461.146389,31.456605,15.479040
2.9500,933.483461,8.391608,462.522658,31.333711,15.525236
2.9600,929.823713,8.391608,463.893077,31.210866,15.571236
2.9700,926.165630,8.391608,465.257647,31.088077,15.617040
2.9800,922.509384,8.391608,466.616371,30.965350,15.662647
2.9900,918.855148,8.391608,467.969252,30.842690,15.708059
3.0000,915.203089,8.391608,469.316295,30.720104,15.753274
3.0100,911.553374,8.391608,470.657501,30.597596,15.798294
3.0200,907.906168,8.391608,471.992876,30.475172,15.843118
3.0300,904.261632,8.391608,473.322423,30.352838,15.887746
3.0400,900.619927,8.391608,474.646147,30.230599,15.932178
3.0500,896.981209,8.391608,475.964052,30.108460,15.976416
3.0600,893.345635,8.391608,477.276144,29.986427,16.020458
3.0700,889.713357,8.391608,478.582427,29.864504,16.064305
3.0800,886.084527,8.391608,479.882907,29.742697,16.107958
3.0900,882.459293,8.391608,481.177589,29.621011,16.151416
3.1000,878.837803,8.391608,482.466480,29.499451,16.194679
3.1100,875.220200,8.391608,483.749585,29.378021,16.237748
3.1200,871.606628,8.391608,485.026911,29.256726,16.280624
3.1300,867.997227,8.391608,486.298464,29.135571,16.323305
3.1400,864.392135,8.391608,487.564251,29.014561,16.365793
3.1500,860.791490,8.391608,488.824279,28.893700,16.408088
3.1600,857.195426,8.391608,490.078556,28.772993,16.450189
3.1700,853.604074,8.391608,491.327088,28.652444,16.492098
3.1800,850.017567,8.391608,492.569884,28.532058,16.533814
3.1900,846.436032,8.391608,493.806951,28.411839,16.575338
3.2000,842.859596,8.391608,495.038297,28.291791,16.616670
3.2100,839.288383,8.391608,496.263931,28.171918,16.657810
3.2200,835.722518,8.391608,497.483860,28.052224,16.698759
3.2300,832.162120,8.391608,498.698094,27.932715,16.739516
3.2400,828.607309,8.391608,499.906642,27.813392,16.780083
3.2500,825.058202,8.391608,501.109512,27.694261,16.820459
3.2600,821.514915,8.391608,502.306714,27.575326,16.860645
3.2700,817.977562,8.391608,503.498257,27.456590,16.900641
3.2800,814.446254,8.391608,504.684151,27.338056,16.940447
3.2900,810.921102,8.391608,505.864405,27.219729,16.980064
3.3000,807.402213,8.391608,507.039029,27.101613,17.019492
3.3100,803.889695,8.391608,508.208034,26.983710,17.058731
3.3200,800.383653,8.391608,509.371429,26.866025,17.097782
3.3300,796.884190,8.391608,510.529225,26.748560,17.136645
3.3400,793.391407,8.391608,511.681434,26.631320,17.175321
3.3500,789.905405,8.391608,512.828064,26.514307,17.213809
3.3600,786.426281,8.391608,513.969128,26.397525,17.252111
3.3700,782.954132,8.391608,515.104637,26.280978,17.290226
3.3800,779.489053,8.391608,516.234601,26.164668,17.328154
3.3900,776.031138,8.391608,517.359033,26.048598,17.365898
3.4000,772.580479,8.391608,518.477942,25.932771,17.403455
3.4100,769.137165,8.391608,519.591343,25.817192,17.440828
3.4200,765.701285,8.391608,520.699245,25.701861,17.478017
3.4300,762.272927,8.391608,521.801661,25.586784,17.515021
3.4400,758.852176,8.391608,522.898604,25.471961,17.551841
3.4500,755.439116,8.391608,523.990084,25.357397,17.588478
3.4600,752.033829,8.391608,525.076116,25.243094,17.624933
3.4700,748.636398,8.391608,526.156710,25.129054,17.661204
3.4800,745.246901,8.391608,527.231881,25.015281,17.697294
3.4900,741.865416,8.391608,528.301640,24.901776,17.733202
3.5000,738.492021,8.391608,529.366000,24.788543,17.768929
3.5100,735.126791,8.391608,530.424975,24.675585,17.804475
3.5200,731.769799,8.391608,531.478577,24.562902,17.839840
3.5300,728.421121,8.391608,532.526820,24.450499,17.875026
3.5400,725.080822,8.391608,533.569718,24.338377,17.910032
3.5500,721.748976,8.391608,534.607283,24.226539,17.944860
3.5600,718.425651,8.391608,535.639529,24.114987,17.979509
3.5700,715.110914,8.391608,536.666469,24.003723,18.013979
3.5800,711.804830,8.391608,537.688119,23.892750,18.048273
3.5900,708.507464,8.391608,538.704490,23.782069,18.082388
3.6000,705.218880,8.391608,539.715599,23.671683,18.116328
3.6100,701.939138,8.391608,540.721457,23.561593,18.150091
3.6200,698.668300,8.391608,541.722081,23.451803,18.183678
3.6300,695.406426,8.391608,542.717483,23.342314,18.217090
3.6400,692.153572,8.391608,543.707679,23.233127,18.250328
3.6500,688.909797,8.391608,544.692683,23.124245,18.283391
3.6600,685.675155,8.391608,545.672508,23.015670,18.316280
3.6700,682.449701,8.391608,546.647172,22.907403,18.348996
3.6800,679.233488,8.391608,547.616686,22.799446,18.381539
3.6900,676.026570,8.391608,548.581068,22.691801,18.413910
3.7000,672.828996,8.391608,549.540330,22.584470,18.446109
3.7100,669.640815,8.391608,550.494489,22.477454,18.478137
3.7200,666.462078,8.391608,551.443560,22.370755,18.509994
3.7300,663.292830,8.391608,552.387558,22.264375,18.541680
3.7400,660.133119,8.391608,553.326497,22.158314,18.573197
3.7500,656.982991,8.391608,554.260393,22.052576,18.604545
3.7600,653.842488,8.391608,555.189262,21.947160,18.635723
3.7700,650.711654,8.391608,556.113118,21.842070,18.666734
3.7800,647.590531,8.391608,557.031979,21.737305,18.697577
3.7900,644.479160,8.391608,557.945858,21.632867,18.728253
3.8000,641.377582,8.391608,558.854771,21.528758,18.758762
3.8100,638.285834,8.391608,559.758735,21.424979,18.789104
3.8200,635.203955,8.391608,560.657765,21.321531,18.819282
3.8300,632.131981,8.391608,561.551876,21.218416,18.849294
3.8400,629.069948,8.391608,562.441085,21.115635,18.879141
3.8500,626.017891,8.391608,563.325408,21.013188,18.908825
3.8600,622.975845,8.391608,564.204860,20.911077,18.938345
3.8700,619.943841,8.391608,565.079458,20.809304,18.967702
3.8800,616.921912,8.391608,565.949218,20.707868,18.996897
3.8900,613.910089,8.391608,566.814155,20.606772,19.025930
3.9000,610.908401,8.391608,567.674286,20.506016,19.054801
3.9100,607.916878,8.391608,568.529628,20.405602,19.083512
3.9200,604.935549,8.391608,569.380195,20.305529,19.112063
3.9300,601.964439,8.391608,570.226006,20.205799,19.140453
3.9400,599.003577,8.391608,571.067075,20.106414,19.168685
3.9500,596.052987,8.391608,571.903421,20.007373,19.196758
3.9600,593.112694,8.391608,572.735058,19.908678,19.224673
3.9700,590.182720,8.391608,573.562003,19.810329,19.252431
3.9800,587.263090,8.391608,574.384274,19.712328,19.280032
3.9900,584.353825,8.391608,575.201886,19.614674,19.307476
4.0000,581.454947,8.391608,576.014856,19.517369,19.334764
4.0100,578.566474,8.391608,576.823201,19.420413,19.361898
4.0200,575.688428,8.391608,577.626937,19.323807,19.388876
4.0300,572.820826,8.391608,578.426082,19.227552,19.415701
4.0400,569.963688,8.391608,579.220651,19.131648,19.442372
4.0500,567.117029,8.391608,580.010662,19.036096,19.468889
4.0600,564.280867,8.391608,580.796131,18.940896,19.495255
4.0700,561.455218,8.391608,581.577075,18.846049,19.521468
4.0800,558.640097,8.391608,582.353511,18.751556,19.547530
4.0900,555.835517,8.391608,583.125455,18.657416,19.573442
4.1000,553.041493,8.391608,583.892925,18.563631,19.599203
4.1100,550.258037,8.391608,584.655937,18.470200,19.624815
4.1200,547.485159,8.391608,585.414509,18.377124,19.650277
4.1300,544.722873,8.391608,586.168657,18.284404,19.675591
4.1400,541.971187,8.391608,586.918398,18.192040,19.700757
4.1500,539.230112,8.391608,587.663749,18.100032,19.725776
4.1600,536.499656,8.391608,588.404727,18.008380,19.750648
4.1700,533.779828,8.391608,589.141349,17.917085,19.775374
4.1800,531.070635,8.391608,589.873633,17.826147,19.799954
4.1900,528.372085,8.391608,590.601594,17.735567,19.824389
4.2000,525.684184,8.391608,591.325251,17.645343,19.848680
4.2100,523.006938,8.391608,592.044620,17.555478,19.872826
4.2200,520.340352,8.391608,592.759718,17.465970,19.896830
4.2300,517.684430,8.391608,593.470562,17.376820,19.920690
4.2400,515.039177,8.391608,594.177170,17.288028,19.944409
4.2500,512.404595,8.391608,594.879558,17.199595,19.967985
4.2600,509.780688,8.391608,595.577743,17.111520,19.991421
4.2700,507.167456,8.391608,596.271742,17.023803,20.014716
4.2800,504.564902,8.391608,596.961573,16.936444,20.037871
4.2900,501.973027,8.391608,597.647253,16.849444,20.060887
4.3000,499.391830,8.391608,598.328798,16.762803,20.083764
4.3100,496.821311,8.391608,599.006226,16.676520,20.106503
4.3200,494.261470,8.391608,599.679554,16.590595,20.129104
4.3300,491.712305,8.391608,600.348799,16.505028,20.151568
4.3400,489.173813,8.391608,601.013977,16.419820,20.173896
4.3500,486.645993,8.391608,601.675107,16.334970,20.196088
4.3600,484.128841,8.391608,602.332204,16.250479,20.218144
4.3700,481.622354,8.391608,602.985287,16.166345,20.240066
4.3800,479.126527,8.391608,603.634372,16.082569,20.261853
4.3900,476.641357,8.391608,604.279476,15.999150,20.283507
4.4000,474.166837,8.391608,604.920616,15.916090,20.305028
4.4100,471.702962,8.391608,605.557809,15.833386,20.326416
4.4200,469.249725,8.391608,606.191072,15.751040,20.347672
4.4300,466.807122,8.391608,606.820423,15.669050,20.368797
4.4400,464.375143,8.391608,607.445878,15.587417,20.389792
4.4500,461.953782,8.391608,608.067454,15.506141,20.410656
4.4600,459.543030,8.391608,608.685168,15.425221,20.431390
4.4700,457.142879,8.391608,609.299037,15.344656,20.451996
4.4800,454.753321,8.391608,609.909079,15.264447,20.472473
4.4900,452.374345,8.391608,610.515309,15.184593,20.492822
4.5000,450.005941,8.391608,611.117745,15.105095,20.513043
4.5100,447.648100,8.391608,611.716404,15.025950,20.533138
4.5200,445.300811,8.391608,612.311302,14.947160,20.553107
4.5300,442.964062,8.391608,612.902457,14.868724,20.572950
4.5400,440.637842,8.391608,613.489886,14.790641,20.592667
4.5500,438.322139,8.391608,614.073604,14.712911,20.612261
4.5600,436.016940,8.391608,614.653630,14.635534,20.631730
